City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,richards bay,-28.783,32.0377,292.35,93,100,4.3,ZA,1702257894
173,port isabel,26.0734,-97.2086,287.05,59,0,0.0,US,1702257871
174,anadyr,64.75,177.4833,246.48,82,20,5.0,RU,1702257764
175,dul'durga,50.6761,113.5931,244.53,94,7,0.88,RU,1702257894
176,verkhnevilyuysk,63.4453,120.3167,244.21,96,99,3.07,RU,1702257894
177,makoua,0.0069,15.6333,296.41,95,100,1.06,CG,1702257894
178,kirakira,-10.4544,161.9205,300.81,82,92,0.62,SB,1702257570
179,antofagasta,-23.65,-70.4,291.75,78,10,1.04,CL,1702257894
180,palikir - national government center,6.9248,158.1611,304.62,70,100,5.14,FM,1702257895
181,alice springs,-23.7,133.8833,290.9,39,100,4.63,AU,1702257895
182,eyl,7.9803,49.8164,297.56,77,57,6.9,SO,1702257895
183,karratha,-20.7377,116.8463,302.21,18,6,10.11,AU,1702257758
184,kokopo,-4.352,152.2633,298.87,86,100,2.19,PG,1702257818
185,oltinko'l,40.8011,72.1634,277.57,56,100,1.18,UZ,1702257895
186,taltal,-25.4,-70.4833,290.39,81,83,1.23,CL,1702257895
187,prince albert,53.2001,-105.7677,270.12,80,75,6.69,CA,1702257895
188,port lincoln,-34.7333,135.8667,290.41,93,100,6.92,AU,1702257895
189,yerofey pavlovich,53.9667,121.9667,243.34,84,10,1.19,RU,1702257895
190,chegdomyn,51.1167,133.0167,247.28,85,64,1.3,RU,1702257794
191,tamanrasset,22.785,5.5228,286.1,28,0,4.63,DZ,1702257769
192,dossor,47.5272,52.9811,264.83,27,100,7.59,KZ,1702257895
193,ciudad melchor muzquiz,27.8833,-101.5167,284.34,32,0,3.77,MX,1702257895
194,la ronge,55.1001,-105.2842,269.29,74,100,2.57,CA,1702257895
195,port augusta,-32.5,137.7667,294.02,64,100,6.7,AU,1702257895
196,urangan,-25.3,152.9,298.82,73,100,2.68,AU,1702257896
197,beloyarskiy,63.7119,66.6722,238.15,100,44,1.34,RU,1702257790
198,gunjur,13.2019,-16.7339,296.19,73,0,2.06,GM,1702257896
199,celestun,20.8667,-90.4,296.85,84,100,9.47,MX,1702257896
200,minas de marcona,-15.2119,-75.1103,289.25,77,92,4.56,PE,1702257896
201,wucheng,29.6008,118.175,287.93,95,100,2.37,CN,1702257896
202,freetown,8.484,-13.2299,299.63,79,67,2.33,SL,1702257756
203,pakur,24.6333,87.85,288.46,42,0,2.12,IN,1702257896
204,emerald,-23.5333,148.1667,296.37,66,100,7.17,AU,1702257896
205,polyarnyy,69.1989,33.4478,260.14,89,83,7.3,RU,1702257564
206,kapa'a,22.0752,-159.319,300.33,78,20,4.12,US,1702257576
207,kalmunai,7.4167,81.8167,298.18,88,95,2.05,LK,1702257897
208,lamu,-2.2717,40.902,299.4,84,11,3.75,KE,1702257897
209,port saint john's,-31.6229,29.5448,291.26,86,100,0.73,ZA,1702257897
210,newman,37.3138,-121.0208,286.64,45,100,0.89,US,1702257807
211,uyar,55.81,94.3153,237.62,100,77,0.89,RU,1702257897
212,tofol,5.3248,163.0078,302.03,79,75,3.09,FM,1702257540
213,morteros,-30.7116,-61.9986,295.38,60,0,3.72,AR,1702257897
214,orichi,58.4036,49.0572,249.29,91,100,3.17,RU,1702257897
215,la maddalena,41.2142,9.4083,288.24,77,52,11.69,IT,1702257897
216,lerwick,60.1545,-1.1494,280.15,74,100,5.69,GB,1702257783
217,khanbari,27.3747,87.2039,283.72,67,3,1.24,NP,1702257897
218,antsiranana,-12.2787,49.2917,298.78,85,97,5.67,MG,1702257897
219,hotan,37.0997,79.9269,272.71,36,100,4.56,CN,1702257786
220,novyye lyady,58.0536,56.6039,239.94,99,17,1.6,RU,1702257897
221,fort bragg,35.139,-79.006,292.06,94,100,4.12,US,1702257645
222,magumeri,12.1131,12.8274,291.62,36,10,4.69,NG,1702257897
223,el-tor,28.2364,33.6254,290.23,59,0,2.57,EG,1702257898
